Name;Lactobacillus_crispatus;Escherichia_coli;Enterococcus_faecalis;Lactobacillus_iners;Gardnerella_vaginalis;Citrobacter_koseri;Klebsiella_pneumoniae;Lactobacillus_gasseri;Lactobacillus_jensenii;Gardnerella_leopoldii;Bifidobacterium_breve;Enterobacter_asburiae;Gardnerella_swidsinskii;Fannyhessea_vaginae;Proteus_vulgaris;Streptococcus_agalactiae;Prevotella_bivia;Citrobacter_freundii;Gardnerella_piotii;Staphylococcus_haemolyticus;lsa(C);tet(M);erm(B);aph(3')-III;lsa(A);cfxA3;mef(A);msr(D);blaTEM-1B;erm(A);tet(Q);erm(X);lnu(C);erm(F);ant(6)-Ia;blaTEM-116;aph(3'')-Ib;mre(A);aph(6)-Id;fosA;sul2;mph(C);fosB;blaMAL-1;tet(W);tet(O);tet(L);tet(A);fosA7;erm(C);blaZ;cfxA;dfrA1;dfrA17;sul1;tet(B);tet(O/32/O);blaTEM-1A;OqxA;lnu(A);catA2;OqxB;cfxA4;bleO;dfrG;cat;msr(A);tet(O/W);blaTEM-1C;qnrS1
sul2;0.954;0.001;0.3047;0.001;0.001;0.001;0.001;0.001;0.023;0.001;0.5964;0.001;0.001;0.001;0.5634;0.001;0.041;0.001;0.001;0.979;0.001;0.001;0.1758;0.0859;0.8701;0.0879;0.006;0.002;0.001;0.036;0.007;0.4066;0.5025;0.1069;0.0609;0.6304;0.001;0.8691;0.001;0.003;1;0.049;0.016;0.3906;0.05;0.001;0.0749;0.001;0.1508;0.4665;0.6913;0.032;0.001;0.001;0.001;0.001;0.1968;0.1339;0.001;0.003;0.1429;0.001;0.7033;0.4985;0.2178;0.6623;0.042;0.2877;0.005;0.003
mph(C);0.1588;0.2937;0.001;0.7522;0.001;0.038;0.1309;0.2338;0.8911;0.003;0.0899;0.006;0.002;0.001;0.002;0.1399;0.004;0.001;0.001;0.001;0.004;0.038;0.1928;0.001;0.001;0.001;0.001;0.015;0.1159;0.0789;0.002;0.03;0.9131;0.025;0.001;0.3686;0.1399;0.8162;0.6054;0.1738;0.049;1;0.001;0.3187;0.012;0.0629;0.6094;0.1059;0.1998;0.001;0.001;0.3766;0.5674;0.8501;0.037;0.8681;0.3317;0.4845;0.0879;0.4725;0.4336;0.0709;0.7572;0.001;0.002;0.1039;0.001;0.7722;0.5115;0.5914
fosB;0.6943;0.01;0.001;0.3317;0.012;0.0599;0.3147;0.8442;0.5784;0.1359;0.0549;0.003;0.2088;0.001;0.004;0.013;0.001;0.005;0.0879;0.001;0.0629;0.0879;0.3976;0.003;0.001;0.001;0.02;0.0529;0.0559;0.0839;0.002;0.4875;0.6354;0.004;0.013;0.0609;0.013;0.981;0.1049;0.6094;0.016;0.001;1;0.5654;0.1978;0.2408;0.984;0.3936;0.5524;0.001;0.001;0.3327;0.3387;0.6613;0.041;0.8931;0.6723;0.3267;0.1838;0.0799;0.7672;0.2717;0.0749;0.001;0.001;0.034;0.001;0.014;0.004;0.1189
blaMAL-1;0.038;0.004;0.6743;0.6843;0.01;0.001;0.001;0.2747;0.4186;0.029;0.0789;0.001;0.0929;0.001;0.8222;0.001;0.001;0.001;0.05;0.007;0.1608;0.001;0.1738;0.0729;0.6054;0.022;0.1399;0.2088;0.2208;0.048;0.001;0.4845;0.009;0.009;0.013;0.007;0.1249;0.003;0.5924;0.004;0.3906;0.3187;0.5654;1;0.7123;0.3636;0.4625;0.9391;0.001;0.1319;0.2078;0.7642;0.05;0.1249;0.6633;0.2877;0.0599;0.002;0.012;0.002;0.001;0.004;0.002;0.8901;0.4076;0.001;0.5135;0.002;0.002;0.02
tet(W);0.8462;0.003;0.001;0.4286;0.1369;0.02;0.013;0.7233;0.8012;0.2717;0.001;0.034;0.0969;0.2667;0.6254;0.3167;0.5285;0.002;0.0979;0.001;0.4256;0.2737;0.7962;0.5964;0.006;0.018;0.001;0.007;0.021;0.001;0.001;0.004;0.2268;0.038;0.5724;0.047;0.1149;0.6074;0.6643;0.05;0.05;0.012;0.1978;0.7123;1;0.1009;0.8761;0.011;0.8342;0.4565;0.018;0.001;0.4945;0.3516;0.1918;0.7702;0.004;0.2098;0.0679;0.007;0.7552;0.034;0.1578;0.032;0.034;0.8811;0.036;0.5994;0.2647;0.6324
tet(O);0.04;0.008;0.038;0.3946;0.05;0.0649;0.005;0.0589;0.1249;0.011;0.007;0.03;0.002;0.1249;0.001;0.001;0.016;0.7992;0.05;0.009;0.4745;0.8711;0.3876;0.1518;0.006;0.001;0.002;0.001;0.1199;0.3866;0.001;0.0549;0.7802;0.2048;0.6653;0.6943;0.001;0.011;0.005;0.005;0.001;0.0629;0.2408;0.3636;0.1009;1;0.984;0.002;0.2617;0.0589;0.019;0.001;0.0789;0.035;0.017;0.0589;0.0539;0.961;0.003;0.2258;0.2757;0.003;0.966;0.023;0.7113;0.7103;0.0889;0.7882;0.5744;0.1149
tet(L);0.6464;0.1918;0.8981;0.7562;0.3297;0.023;0.0789;0.7293;0.1309;0.7213;0.5664;0.001;0.2817;0.0639;0.0529;0.2458;0.044;0.024;0.5974;0.8052;0.8941;0.4176;0.7483;0.3816;0.4266;0.001;0.0929;0.049;0.0519;0.4555;0.4775;0.048;0.1479;0.7443;0.4306;0.5844;0.3007;0.7323;0.0749;0.013;0.0749;0.6094;0.984;0.4625;0.8761;0.984;1;0.0879;0.1928;0.032;0.3007;0.2797;0.8991;0.1049;0.009;0.1119;0.006;0.3716;0.006;0.5754;1;0.007;0.7063;0.6154;0.3167;0.8891;0.2967;0.8392;0.951;0.956
tet(A);0.7183;0.001;0.2228;0.002;0.001;0.001;0.001;0.002;0.017;0.001;0.0529;0.001;0.001;0.001;0.2498;0.002;0.002;0.001;0.001;0.1758;0.001;0.001;0.025;0.002;0.977;0.001;0.002;0.001;0.001;0.028;0.001;0.4106;0.7313;0.3606;0.005;0.1039;0.001;0.3986;0.001;0.004;0.001;0.1059;0.3936;0.9391;0.011;0.002;0.0879;1;0.6304;0.018;0.3506;0.0939;0.001;0.001;0.001;0.969;0.1139;0.001;0.005;0.013;0.3107;0.006;0.3596;0.9261;0.043;0.4975;0.2368;0.5944;0.003;0.001
fosA7;0.1518;0.1319;0.2368;0.1628;0.045;0.001;0.001;0.5734;0.2098;0.024;0.1079;0.001;0.037;0.001;0.6903;0.001;0.001;0.001;0.046;0.001;0.8661;0.001;0.1888;0.0849;0.7093;0.048;0.0619;0.1429;0.5984;0.0529;0.001;0.2677;0.003;0.012;0.006;0.001;0.0879;0.01;0.3257;0.001;0.1508;0.1998;0.5524;0.001;0.8342;0.2617;0.1928;0.6304;1;0.1079;0.0989;0.7962;0.021;0.027;0.0539;0.1009;0.0589;0.002;0.002;0.002;0.001;0.001;0.001;0.7802;0.5265;0.001;0.6094;0.001;0.001;0.003
erm(C);0.3337;0.3287;0.9261;0.5465;0.04;0.3377;0.6743;0.8012;0.8591;0.031;0.034;0.2058;0.2298;0.001;0.4166;0.002;0.001;0.014;0.007;0.004;0.2128;0.004;0.3177;0.8392;0.5245;0.015;0.0619;0.1009;0.9251;0.2278;0.001;0.1768;0.04;0.029;0.8272;0.004;0.004;0.1399;0.017;0.3307;0.4665;0.001;0.001;0.1319;0.4565;0.0589;0.032;0.018;0.1079;1;0.001;0.8681;0.0549;0.013;0.96;0.2238;0.013;0.03;0.2717;0.003;0.002;0.2977;0.005;0.001;0.001;0.1179;0.001;0.025;0.001;0.004
blaZ;0.1518;0.4306;0.001;0.7772;0.001;0.3776;0.982;0.951;0.0649;0.001;0.0509;0.0619;0.001;0.001;0.001;0.6404;0.001;0.001;0.003;0.001;0.019;0.1149;0.2188;0.001;0.001;0.001;0.013;0.008;0.0779;0.03;0.001;0.2018;0.2757;0.001;0.002;0.5285;0.987;0.979;0.7393;0.6733;0.6913;0.001;0.001;0.2078;0.018;0.019;0.3007;0.3506;0.0989;0.001;1;0.0889;0.7423;0.8432;0.5455;0.7692;0.4256;0.3936;0.8272;0.2847;0.1199;0.6094;0.6474;0.001;0.002;0.4545;0.001;0.6893;0.8382;0.7972
cfxA;0.8192;0.033;0.001;0.8422;0.967;0.4426;0.006;0.6324;0.3586;0.7163;0.025;0.5854;0.5654;0.0519;0.6394;0.5934;0.001;0.045;0.5644;0.001;0.8991;0.6194;0.3027;0.4316;0.007;0.001;0.3766;0.2587;0.1079;0.001;0.001;0.001;0.2068;0.001;0.6154;0.6653;0.3896;0.5165;0.4785;0.6384;0.032;0.3766;0.3327;0.7642;0.001;0.001;0.2797;0.0939;0.7962;0.8681;0.0889;1;0.4136;0.1189;0.3427;0.5295;0.4595;0.4905;0.3397;0.1698;0.2258;0.3237;0.1179;0.3776;0.7832;0.5984;0.5165;0.024;0.2038;0.9191
dfrA1;0.8462;0.008;0.009;0.5305;0.001;0.046;0.1489;0.5145;0.8182;0.001;0.0779;0.018;0.001;0.001;0.7483;0.009;0.001;0.6683;0.009;0.003;0.3766;0.018;0.2468;0.1339;0.2607;0.0779;0.043;0.037;0.001;0.1548;0.003;0.98;0.005;0.013;0.2218;0.003;0.002;0.012;0.005;0.03;0.001;0.5674;0.3387;0.05;0.4945;0.0789;0.8991;0.001;0.021;0.0549;0.7423;0.4136;1;0.0819;0.001;0.002;0.009;0.001;0.015;0.001;0.001;0.035;0.002;0.5455;0.4306;0.003;0.4725;0.003;0.001;0.001
dfrA17;0.042;0.001;0.002;0.5285;0.001;0.004;0.001;0.1708;0.3077;0.001;0.1079;0.008;0.006;0.001;0.2697;0.001;0.001;0.2867;0.001;0.002;0.1029;0.001;0.5375;0.02;0.1249;0.001;0.02;0.019;0.001;0.006;0.001;0.7992;0.018;0.013;0.007;0.015;0.001;0.02;0.001;0.001;0.001;0.8501;0.6613;0.1249;0.3516;0.035;0.1049;0.001;0.027;0.013;0.8432;0.1189;0.0819;1;0.001;0.001;0.1908;0.002;0.001;0.002;0.008;0.001;0.002;0.007;0.007;0.032;0.7433;0.007;0.003;0.001
sul1;0.6444;0.001;0.5335;0.5824;0.001;0.001;0.001;0.0509;0.002;0.001;0.014;0.001;0.001;0.001;0.7243;0.001;0.001;0.001;0.001;0.0979;0.001;0.001;0.8521;0.1229;0.5784;0.001;0.008;0.013;0.001;0.001;0.001;0.008;0.3516;0.001;0.5225;0.2128;0.001;0.2388;0.001;0.003;0.001;0.037;0.041;0.6633;0.1918;0.017;0.009;0.001;0.0539;0.96;0.5455;0.3427;0.001;0.001;1;0.001;0.8332;0.001;0.002;0.1269;0.007;0.001;0.1179;0.6444;0.0619;0.01;0.0519;0.2887;0.1928;0.004
tet(B);0.7532;0.001;0.2877;0.8012;0.024;0.029;0.003;0.022;0.5974;0.005;0.028;0.0569;0.018;0.001;0.7323;0.001;0.003;0.025;0.0679;0.1658;0.2697;0.003;0.3387;0.1868;0.1309;0.0779;0.0749;0.0849;0.002;0.012;0.009;0.3506;0.023;0.006;0.049;0.027;0.001;0.025;0.001;0.001;0.001;0.8681;0.8931;0.2877;0.7702;0.0589;0.1119;0.969;0.1009;0.2238;0.7692;0.5295;0.002;0.001;0.001;1;0.1119;0.009;0.001;0.047;0.001;0.001;0.007;0.8831;0.7862;0.1179;0.8062;0.001;0.024;0.001
tet(O/32/O);0.957;0.1209;0.001;0.5654;0.2258;0.1319;0.0589;0.7612;0.4316;0.4006;0.002;0.1089;0.6543;0.001;0.3147;0.0919;0.1319;0.003;0.2537;0.012;0.7642;0.0909;0.3936;0.7153;0.002;0.1009;0.1329;0.1638;0.1199;0.004;0.96;0.002;0.021;0.957;0.987;0.001;0.8362;0.04;0.6613;0.5145;0.1968;0.3317;0.6723;0.0599;0.004;0.0539;0.006;0.1139;0.0589;0.013;0.4256;0.4595;0.009;0.1908;0.8332;0.1119;1;0.003;0.5095;0.021;0.0599;0.2468;0.002;0.3556;0.5345;0.04;0.5095;0.001;0.004;0.047
blaTEM-1A;0.8182;0.001;0.003;0.5155;0.011;0.002;0.012;0.2937;0.6454;0.006;0.1039;0.004;0.041;0.001;0.5495;0.001;0.001;0.022;0.048;0.004;0.7283;0.001;0.4016;0.011;0.2088;0.006;0.044;0.1289;0.011;0.008;0.001;0.3756;0.001;0.018;0.008;0.001;0.5075;0.001;0.0909;0.001;0.1339;0.4845;0.3267;0.002;0.2098;0.961;0.3716;0.001;0.002;0.03;0.3936;0.4905;0.001;0.002;0.001;0.009;0.003;1;0.001;0.002;0.002;0.001;0.001;0.2757;0.2198;0.002;0.1878;0.001;0.001;0.001
OqxA;0.5794;0.001;0.2068;0.008;0.001;0.001;0.001;0.0809;0.3606;0.001;0.025;0.001;0.001;0.001;0.1479;0.001;0.001;0.001;0.004;0.2587;0.006;0.001;0.1878;0.5614;0.7403;0.007;0.005;0.007;0.04;0.001;0.001;0.3457;0.1179;0.003;0.3257;0.3776;0.001;0.1938;0.001;0.001;0.001;0.0879;0.1838;0.012;0.0679;0.003;0.006;0.005;0.002;0.2717;0.8272;0.3397;0.015;0.001;0.002;0.001;0.5095;0.001;1;0.8861;0.001;0.001;0.0729;0.2388;0.4845;0.8452;0.1259;0.4226;0.1968;0.001
lnu(A);0.0619;0.1209;0.001;0.3876;0.1538;0.971;0.7463;0.6154;0.8482;0.019;0.2667;0.8422;0.1588;0.001;0.1039;0.001;0.001;0.028;0.022;0.018;0.5914;0.001;0.3866;0.1379;0.1718;0.009;0.042;0.1029;0.01;0.039;0.001;0.2687;0.002;0.5035;0.0639;0.001;0.001;0.012;0.001;0.6154;0.003;0.4725;0.0799;0.002;0.007;0.2258;0.5754;0.013;0.002;0.003;0.2847;0.1698;0.001;0.002;0.1269;0.047;0.021;0.002;0.8861;1;0.006;0.6394;0.001;0.003;0.006;0.004;0.029;0.001;0.001;0.001
catA2;0.6284;0.2248;0.003;0.1538;0.019;0.011;0.032;0.0619;0.8601;0.003;0.023;0.5774;0.01;0.001;0.3936;0.001;0.001;0.7223;0.007;0.004;0.7263;0.001;0.7013;0.8462;0.2737;0.049;0.0739;0.1888;0.1888;0.006;0.001;0.6953;0.001;0.03;0.8442;0.004;0.1079;0.005;0.019;0.002;0.1429;0.4336;0.7672;0.001;0.7552;0.2757;1;0.3107;0.001;0.002;0.1199;0.2258;0.001;0.008;0.007;0.001;0.0599;0.002;0.001;0.006;1;0.001;0.001;0.6823;0.007;0.003;0.952;0.001;0.003;0.001
OqxB;0.4286;0.001;0.8292;0.009;0.001;0.001;0.001;0.026;0.2577;0.001;0.03;0.001;0.001;0.001;0.039;0.001;0.001;0.001;0.002;0.4515;0.009;0.001;0.2238;0.7093;0.2907;0.001;0.004;0.013;0.0599;0.001;0.001;0.6653;0.1608;0.002;0.5714;0.5395;0.001;0.2637;0.001;0.001;0.001;0.0709;0.2717;0.004;0.034;0.003;0.007;0.006;0.001;0.2977;0.6094;0.3237;0.035;0.001;0.001;0.001;0.2468;0.001;0.001;0.6394;0.001;1;0.0509;0.4376;0.6553;0.7093;0.1588;0.5195;0.2008;0.003
cfxA4;0.7143;0.002;0.001;0.003;0.9491;0.3497;0.5025;0.9481;0.5425;0.2827;0.0699;0.3177;0.8352;0.001;0.1339;0.001;0.001;0.002;0.4805;0.001;0.1079;0.001;0.6573;0.041;0.005;0.02;0.8981;0.4026;0.5235;0.013;0.001;0.8971;0.001;0.032;0.019;0.001;0.3946;0.001;0.952;0.0649;0.7033;0.7572;0.0749;0.002;0.1578;0.966;0.7063;0.3596;0.001;0.005;0.6474;0.1179;0.002;0.002;0.1179;0.007;0.002;0.001;0.0729;0.001;0.001;0.0509;1;0.1209;0.047;0.001;0.0549;0.001;0.001;0.002
bleO;0.039;0.6893;0.4136;0.7762;0.006;0.2258;0.2977;0.994;0.6344;0.018;0.014;0.1848;0.007;0.001;0.002;0.004;0.002;0.003;0.004;0.001;0.2328;0.001;0.7512;0.001;0.046;0.001;0.1518;0.2068;0.4635;0.015;0.001;0.7602;0.5524;0.002;0.3836;0.021;0.024;0.9311;0.024;0.8212;0.4985;0.001;0.001;0.8901;0.032;0.023;0.6154;0.9261;0.7802;0.001;0.001;0.3776;0.5455;0.007;0.6444;0.8831;0.3556;0.2757;0.2388;0.003;0.6823;0.4376;0.1209;1;0.013;0.7512;0.001;0.5624;0.039;0.005
dfrG;0.4565;0.3267;0.001;0.1029;0.003;0.5844;0.8821;0.0549;0.2527;0.001;0.001;0.2448;0.001;0.001;0.014;0.008;0.001;0.015;0.001;0.014;0.1888;0.0819;0.001;0.001;0.001;0.002;0.3487;0.5614;0.7692;0.0669;0.001;0.4346;0.2038;0.003;0.001;0.016;0.0639;0.3287;0.012;0.0589;0.2178;0.002;0.001;0.4076;0.034;0.7113;0.3167;0.043;0.5265;0.001;0.002;0.7832;0.4306;0.007;0.0619;0.7862;0.5345;0.2198;0.4845;0.006;0.007;0.6553;0.047;0.013;1;0.001;0.004;0.4416;0.029;0.009
cat;0.2837;0.5235;0.7672;0.0979;0.0909;0.007;0.4416;0.4196;0.6843;0.0849;0.6513;0.7423;0.1878;0.001;0.001;0.001;0.001;0.05;0.0579;0.031;0.4416;0.008;0.3137;0.2867;0.2138;0.0939;0.2158;0.2977;0.2208;0.006;0.001;0.8352;0.006;0.007;0.006;0.004;0.7942;0.015;0.2398;0.1339;0.6623;0.1039;0.034;0.001;0.8811;0.7103;0.8891;0.4975;0.001;0.1179;0.4545;0.5984;0.003;0.032;0.01;0.1179;0.04;0.002;0.8452;0.004;0.003;0.7093;0.001;0.7512;0.001;1;0.977;0.003;0.001;0.005
msr(A);0.3836;0.008;0.001;0.7043;0.005;0.1598;0.015;0.8601;0.1818;0.048;0.011;0.012;0.013;0.001;0.006;0.3337;0.003;0.001;0.012;0.001;0.1339;0.0979;0.9371;0.001;0.001;0.003;0.009;0.006;0.019;0.3926;0.002;0.8282;0.5824;0.024;0.01;0.041;0.1119;0.025;0.5984;0.2907;0.042;0.001;0.001;0.5135;0.036;0.0889;0.2967;0.2368;0.6094;0.001;0.001;0.5165;0.4725;0.7433;0.0519;0.8062;0.5095;0.1878;0.1259;0.029;0.952;0.1588;0.0549;0.001;0.004;0.977;1;0.047;0.017;0.0919
tet(O/W);0.0809;0.002;0.001;0.1069;0.6983;0.3806;0.7223;0.9431;0.8422;0.3866;0.2078;0.1988;0.7852;0.001;0.1848;0.001;0.001;0.004;0.9231;0.002;0.3616;0.002;0.6973;0.0609;0.012;0.1908;0.991;0.7303;0.2328;0.5544;0.013;0.043;0.001;0.4935;0.017;0.001;0.1708;0.008;0.5095;0.2547;0.2877;0.7722;0.014;0.002;0.5994;0.7882;0.8392;0.5944;0.001;0.025;0.6893;0.024;0.003;0.007;0.2887;0.001;0.001;0.001;0.4226;0.001;0.001;0.5195;0.001;0.5624;0.4416;0.003;0.047;1;0.001;0.003
blaTEM-1C;0.7033;0.8751;0.001;0.4406;0.017;0.2328;0.8981;0.0519;0.5734;0.009;0.3257;0.5195;0.0679;0.001;0.1848;0.001;0.001;0.0709;0.046;0.001;0.8402;0.001;0.1928;0.012;0.0919;0.7612;0.0819;0.4006;0.2488;0.011;0.004;0.9421;0.001;0.0829;0.011;0.001;0.001;0.004;0.001;0.1608;0.005;0.5115;0.004;0.002;0.2647;0.5744;0.951;0.003;0.001;0.001;0.8382;0.2038;0.001;0.003;0.1928;0.024;0.004;0.001;0.1968;0.001;0.003;0.2008;0.001;0.039;0.029;0.001;0.017;0.001;1;0.001
qnrS1;0.5984;0.2577;0.001;0.5764;0.011;0.0729;0.1219;0.2028;0.9261;0.006;0.0949;0.1898;0.042;0.001;0.039;0.001;0.001;0.9291;0.038;0.003;0.7333;0.001;0.2478;0.0619;0.011;0.008;0.012;0.0689;0.001;0.019;0.001;0.95;0.005;0.02;0.037;0.001;0.001;0.002;0.001;0.018;0.003;0.5914;0.1189;0.02;0.6324;0.1149;0.956;0.001;0.003;0.004;0.7972;0.9191;0.001;0.001;0.004;0.001;0.047;0.001;0.001;0.001;0.001;0.003;0.002;0.005;0.009;0.005;0.0919;0.003;0.001;1
